data,horario,tbs,umidade,globo metalico,globo plastico,itgu,itu,orvalho
2021-02-25,01:30:00,24.62,83.87,23.62,24.0,72.93562181999721,73.31562181999722,74.69,21.710060611103373
2021-02-25,01:40:00,24.74,83.05,23.62,24.0,72.91999413250194,73.29999413250194,74.8,21.66665036806093
2021-02-25,01:50:00,24.75,83.29,23.56,24.0,72.88050925969996,73.32050925969996,74.85,21.723636832499896
2021-02-25,02:00:00,24.56,84.25,23.56,24.0,72.88111398701713,73.32111398701713,74.63,21.72531663060314
2021-02-25,02:10:00,24.51,84.32,23.5,24.0,72.80838461344578,73.30838461344578,74.56,21.689957259571603
2021-02-25,02:20:00,24.49,85.08,23.44,24.0,72.79420585737104,73.35420585737103,74.6,21.817238492697324
2021-02-25,02:30:00,24.27,85.78,23.44,24.0,72.76483253718152,73.32483253718152,74.3,21.735645936615324
2021-02-25,02:40:00,24.65,83.78,23.38,24.0,72.69986261706838,73.31986261706838,74.74,21.72184060296772
2021-02-25,02:50:00,24.45,84.84,23.31,23.5,72.63344604791664,72.82344604791663,74.51,21.731794577546214
2021-02-25,03:00:00,24.48,84.55,23.31,23.5,72.62385401677616,72.81385401677616,74.53,21.705150046600476
2021-02-25,03:10:00,24.19,86.12,23.31,23.5,72.62987479208478,72.81987479208478,74.21,21.721874422457706
2021-02-25,03:20:00,24.28,85.45,23.25,23.5,72.55565836680728,72.80565836680728,74.29,21.682384352242426
2021-02-25,03:30:00,24.42,84.76,23.19,23.5,72.49730778764759,72.80730778764759,74.45,21.686966076798843
2021-02-25,03:40:00,24.15,86.03,23.12,23.5,72.41958188776215,72.79958188776216,74.13,21.665505243783763
2021-02-25,03:50:00,24.0,86.86,23.12,23.5,72.42309277846948,72.80309277846948,73.96,21.675257717970766
2021-02-25,04:00:00,24.44,84.77,23.12,23.5,72.43505632088376,72.81505632088376,74.48,21.708489780232654
2021-02-25,04:10:00,24.18,85.88,23.06,23.5,72.35990436402233,72.79990436402232,74.17,21.66640101117311
2021-02-25,04:20:00,24.46,84.32,23.06,23.5,72.35076202783694,72.79076202783693,74.47,21.641005632880386
2021-02-25,04:30:00,24.36,84.67,23.06,23.5,72.33989299464596,72.77989299464596,74.35,21.610813874016582
2021-02-25,04:40:00,24.12,85.11,23.0,23.5,72.22572502371206,72.72572502371206,73.99,21.460347288089054
2021-02-25,04:50:00,23.91,86.86,22.94,23.5,72.21125435214577,72.77125435214577,73.81,21.586817644849383
2021-02-25,05:00:00,24.1,86.25,22.87,23.5,72.16695156250995,72.79695156250995,74.06,21.658198784749867
2021-02-25,05:10:00,24.28,85.0,22.87,23.5,72.14457115503532,72.77457115503533,74.24,21.59603098620925
2021-02-25,05:20:00,24.32,84.84,22.87,23.0,72.14759214211536,72.27759214211537,74.3,21.604422616987108
2021-02-25,05:30:00,24.32,84.9,22.87,23.5,72.15175351990894,72.78175351990893,74.3,21.615981999747046
2021-02-25,05:40:00,24.08,84.37,22.94,23.0,72.10030864310889,72.16030864310889,73.84,21.278635119746912
2021-02-25,05:50:00,24.28,86.71,23.12,23.5,72.51194549897299,72.89194549897299,74.41,21.92207083048053
2021-02-25,06:00:00,24.57,85.86,23.56,23.5,72.99629805332678,72.93629805332678,74.81,22.045272370352176
2021-02-25,06:10:00,24.92,83.74,24.19,24.0,73.60212780907474,73.41212780907475,75.17,21.978132802985407
2021-02-25,06:20:00,25.16,82.04,24.69,24.5,74.06551725383804,73.87551725383804,75.38,21.87643681621677
